ulcs_code,school_name,school_level,school_address,school_website,school_abbreviation,year_opened,year_closed,geometry
3408,Mastery Charter School at Mann,elementary,5376 W BERKS ST,http://www.masterycharter.org/school/mann-elementary,mastery mann,2010.0,,POINT (-75.2313266 39.98590147)
3409,Mastery Charter School at Smedley,elementary,1790 BRIDGE ST,http://www.masterycharter.org/smedley,mastery smedley,2010.0,,POINT (-75.073892 40.019786)
3410,Universal Charter School at Bluford,elementary,5801 MEDIA ST,https://www.universalfamilyofschools.org/universal-bluford/,universal bluford,2010.0,,POINT (-75.23602 39.973739)
3411,Universal Charter School at Daroff,elementary-middle,5630 VINE ST,https://www.universalfamilyofschools.org/universal-daroff/,universal daroff,2010.0,,POINT (-75.2325217 39.96558158)
3412,Mastery Charter School at Douglass,elementary-middle,2118 W NORRIS ST,http://www.masterycharter.org/school/frederick-douglass-elementary,mastery douglass,2010.0,,POINT (-75.16846267 39.98461532)
3414,Aspira Charter School at Olney,high,100 W DUNCANNON AVE,https://olneycharter.org/,aspira olney,2011.0,,POINT (-75.123808 40.028772)
3415,Mastery Charter School at Clymer,elementary,1201 W RUSH ST,http://www.masterycharter.org/school/clymer-elementary,mastery clymer,2011.0,,POINT (-75.15034419 39.99565934)
3416,Mastery Charter School at Gratz,middle-high,1798 W HUNTING PARK AVE,http://www.masterycharter.org/gratzprep,mastery gratz,2011.0,,POINT (-75.15660685 40.01453965)
3417,Universal Charter School at Audenried,high,3301 TASKER ST,https://www.universalfamilyofschools.org/universal-audenreid-charter-high-school/,universal audenried,2011.0,,POINT (-75.19859 39.933737)
3418,Universal Charter School at Vare,middle,2100 S 24TH ST,https://www.universalfamilyofschools.org/universal-vare-charter-school/,universal vare,2011.0,,POINT (-75.185707 39.925837)
3419,Lindley Academy Charter at Birney,elementary-middle,900 LINDLEY AVE,http://www.ap-schools.org/Lindley-Academy,lindely birney,2011.0,,POINT (-75.13883269 40.02954904)
